1,432,,12,427,,,,,,,,,,,,,,,,,,,
2,470,,13,494,,,,,,,,,,,,,,,,,,,
3,561,,14,380,,,,,,,,,,,,,,,,,,,
4,403,,15,369,,,,,,,,,,,,,,,,,,,
5,555,,16,392,,,,,,,,,,,,,,,,,,,
6,463,,17,446,,,,,,,,,,,,,,,,,,,
7,457,,18,336,,,,,,,,,,,,,,,,,,,
8,490,,19,380,,,,,,,,,,,,,,,,,,,
9,394,,20,438,,,,,,,,,,,,,,,,,,,
10,465,,21,467,,,,,,,,,,,,,,,,,,,
11,500,,22,452,,,,,,,,,,,,,,,,,,,
12,427,,23,346,,,,,,,,,,,,,,,,,,,
13,494,,0,498,,,,,,,,,,,,,,,,,,,
14,380,,1,406,,,,,,,,,,,,,,,,,,,
15,369,,2,449,,,,,,,,,,,,,,,,,,,
16,392,,3,463,,,,,,,,,,,,,,,,,,,
17,446,,4,386,,,,,,,,,,,,,,,,,,,
18,336,,5,480,,,,,,,,,,,,,,,,,,,
19,380,,6,497,,,,,,,,,,,,,,,,,,,
20,438,,7,410,,,,,,,,,,,,,,,,,,,
21,467,,8,508,,,,,,,,,,,,,,,,,,,
22,452,,9,439,,,,,,,,,,,,,,,,,,,
23,346,,10,445,,,,,,,,,,,,,,,,,,,
03-May,,,11,466,,,,,,,,,,,,,,,,,,,
0,498,,12,322,,,,,,,,,,,,,,,,,,,
1,406,,13,276,,,,,,,,,,,,,,,,,,,
2,449,,14,337,,,,,,,,,,,,,,,,,,,
3,463,,15,455,,,,,,,,,,,,,,,,,,,
4,386,,16,380,,,,,,,,,,,,,,,,,,,
5,480,,17,434,,,,,,,,,,,,,,,,,,,
6,497,,18,292,,,,,,,,,,,,,,,,,,,
7,410,,,,,,,,,,,,,,,,,,,,,,
8,508,,,,,,,,,,,,,,,,,,,,,,
9,439,,,,,,,,,,,,,,,,,,,,,,
10,445,,,,,,,,,,,,,,,,,,,,,,
11,466,,,,,,,,,,,,,,,,,,,,,,
12,322,,,,,,,,,,,,,,,,,,,,,,
13,276,,,,,,,,,,,,,,,,,,,,,,
14,337,,,,,,,,,,,,,,,,,,,,,,
15,455,,,,,,,,,,,,,,,,,,,,,,
16,380,,,,,,,,,,,,,,,,,,,,,,
17,434,,,,,,,,,,,,,,,,,,,,,,
18,292,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
